ref;nump;reg;dpt;com;insee;edif;adresse;leg;lieucor;autp;autoeu;scle;datpv;serie;typdoc;lbase;copy;video_v;video_p;wgs84;filename
APMH00011484;MH0011484;Ile-de-France;93;Saint-Denis;93066;Basilique Saint-Denis;;Façade nord;;Durand, Eugène (photographe);;;;;Négatif;PA00079952;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0011/sap01_mh011484_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/2249778248248a045842280a5e9705d3/;48.9354612, 2.3598354;http://www.culture.gouv.fr/Wave/image/memoire/0011/sap01_mh011484_p.jpg
APMH00008253;MH0008253;Ile-de-France;93;Saint-Denis;93066;Basilique Saint-Denis;;;;Mieusement, Médéric (photographe);;;;;Négatif;PA00079952;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0005/sap01_mh008253_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/88187e06021fd555e16f72c7f47d1620/;48.9354612, 2.3598354;http://www.culture.gouv.fr/Wave/image/memoire/0005/sap01_mh008253_p.jpg
APMH00003938;MH0003938;Ile-de-France;93;Saint-Denis;93066;Basilique Saint-Denis;;Transept sud : Rose;;Mieusement, Médéric (photographe);;;1893 (avant);;Négatif;PA00079952;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0402/sap01_mh003938_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/1f58c2d7fe2d7894b6bc748cb0780c2e/;48.9354612, 2.3598354;http://www.culture.gouv.fr/Wave/image/memoire/0402/sap01_mh003938_p.jpg
APMH00003935;MH0003935;Ile-de-France;93;Saint-Denis;93066;Basilique Saint-Denis;;Abside, côté nord-est;;Mieusement, Médéric (photographe);;;;;Négatif;PA00079952;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0402/sap01_mh003935_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/bb5929880100ee2e72c211494d452b7e/;48.9354612, 2.3598354;http://www.culture.gouv.fr/Wave/image/memoire/0402/sap01_mh003935_p.jpg
APMH00004274;MH0004274;Ile-de-France;93;Saint-Denis;93066;Basilique Saint-Denis;;Stalles du chur;;Mieusement, Médéric (photographe);;;;;Négatif;PA00079952;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0403/sap01_mh004274_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/9fe9f4feb5a4c2cbae9074e3d61e13ef/;48.9354612, 2.3598354;http://www.culture.gouv.fr/Wave/image/memoire/0403/sap01_mh004274_p.jpg
APMH00003933;MH0003933;Ile-de-France;93;Saint-Denis;93066;Basilique Saint-Denis;;Façade nord;;Mieusement, Médéric (photographe);;;1893 (avant);;Négatif;PA00079952;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0402/sap01_mh003933_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/588f3fd47dd5b154499fe2f04423f506/;48.9354612, 2.3598354;http://www.culture.gouv.fr/Wave/image/memoire/0402/sap01_mh003933_p.jpg
APMH00002679;MH0002679;Ile-de-France;93;Saint-Denis;93066;Basilique Saint-Denis;;Stalles du choeur et chaire;;Mieusement, Médéric (photographe);;;1881.10;;Négatif;PA00079952;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0321/sap01_mh002679_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/b4ea12fde4e37ca17d9e9ba2a5cdb796/;48.9354612, 2.3598354;http://www.culture.gouv.fr/Wave/image/memoire/0321/sap01_mh002679_p.jpg
APMH00002671;MH0002671;Ile-de-France;93;Saint-Denis;93066;Basilique Saint-Denis;;Portail de la façade sud : ébrasement droit;;Mieusement, Médéric (photographe);;;1878.09;;Négatif;PA00079952;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0321/sap01_mh002671_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/b9111eb375e10b5a96cb781ca0c55c3e/;48.9354612, 2.3598354;http://www.culture.gouv.fr/Wave/image/memoire/0321/sap01_mh002671_p.jpg
APMH00005081;MH0005081;Ile-de-France;93;Saint-Denis;93066;Basilique Saint-Denis, église abbatiale (ancienne);;;"75 ; Paris 16 ; Palais de Chaillot (Trocadéro) ; Musée de sculpture comparée, Musée des Monuments français";Mieusement, Médéric (photographe);"Liège, Jean de (supposé) ; Liège, Hennequin de (supposé)";14e siècle (4e quart);1893 (avant);;Négatif;"PA00079952 ; PM93000151";Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0702/sap01_mh00005081_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/a07a5ad86ed51eff69c5e3fc0bb3cecc/;48.936181, 2.357443;http://www.culture.gouv.fr/Wave/image/memoire/0702/sap01_mh00005081_p.jpg
APMH00005068;MH0005068;Ile-de-France;93;Saint-Denis;93066;Basilique Saint-Denis, église abbatiale (ancienne);;;"75 ; Paris 16 ; Palais de Chaillot (Trocadéro) ; Musée de sculpture comparée, Musée des Monuments français";Mieusement, Médéric (photographe);"Chelles, Pierre de ; Arras, Jean d'";14e siècle (début);1893 (avant);;Négatif;"PA00079952 ; PM93000134";Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0701/sap01_mh00005068_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/f13f38409ab17eb0545faf78d790dc74/;48.936181, 2.357443;http://www.culture.gouv.fr/Wave/image/memoire/0701/sap01_mh00005068_p.jpg
APMH00003917;MH0003917;Ile-de-France;93;Bourget (Le);93013;Eglise Saint-Nicolas;;Bas-relief du choeur (partie droite) : Les Saintes Femmes au Tombeau;;Mieusement, Médéric (photographe);;;;;Négatif;PA00079930;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0402/sap01_mh003917_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/8af766ae911c8f0471b3ccc507dcbf44/;48.9391546, 2.4293771;http://www.culture.gouv.fr/Wave/image/memoire/0402/sap01_mh003917_p.jpg
APMH00003918;MH0003918;Ile-de-France;93;Bourget (Le);93013;Eglise Saint-Nicolas;;Bas-relief du choeur (partie gauche) : La Bénédiction du pain;;Mieusement, Médéric (photographe);;;;;Négatif;PA00079930;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0402/sap01_mh003918_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/0e0c8e3e2671763916c8fc82257722fb/;48.9391546, 2.4293771;http://www.culture.gouv.fr/Wave/image/memoire/0402/sap01_mh003918_p.jpg
